First process instance # in stats,1
Last process instance # in stats,500

Resource utilization
Resource,Utilization %
Quality Check,Process_0cpygik.Activity_16llggr,300.0,300.0,300.0,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666567,1.6666666666666667,1.6666666666666667,833.3333333333284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500
Quality?,Process_0cpygik.Gateway_01pr0dg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500
Resolve Quality Problems,Process_0cpygik.Activity_1a8zjpp,3600.0,3600.0,3600.0,298800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,2075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),5259.794,17957.395210000013,33090.691
Process Cycle Time excluding out of timetable hours (s),5259.794,17957.395210000013,33090.691
Process Waiting Time (s),0.0,11331.928473999977,22469.743000030518
Accumulated Process Duration (s),5259.794,17957.395210000013,33090.691
Cost,40.425869444444444,53.53500057777777,93.69966111111111


Process Cycle Time (s) distribution
From,To,Count
5259,8042,48
8043,10826,61
10827,13610,13
13611,16394,55
16395,19178,76
19179,21962,118
21963,24746,68
24747,27530,28
27531,30314,22
30315,33098,11

Process Waiting Time (s) distribution
From,To,Count
0,2246,54
2247,4493,51
4494,6740,14
6741,8987,34
8988,11234,57
11235,13481,66
13482,15728,100
15729,17975,86
17976,20222,30
20223,22469,8

Accumulated Process Duration (s) distribution
From,To,Count
5259,8042,48
8043,10826,61
10827,13610,13
13611,16394,55
16395,19178,76
19179,21962,118
21963,24746,68
24747,27530,28
27531,30314,22
30315,33098,11

Process Cost distribution
From,To,Count
40,45,176
46,51,237
52,57,4
58,63,0
64,69,0
70,75,0
76,81,6
82,87,49
88,93,28
94,99,0

In-timetable Cycle time (s) distribution
From,To,Count
5259,8042,48
8043,10826,61
10827,13610,13
13611,16394,55
16395,19178,76
19179,21962,118
21963,24746,68
24747,27530,28
27531,30314,22
30315,33098,11



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,19643.836,19643.836,8454.030000209808,87.40116111111111
2,10135.579,10135.579,4048.5739998817444,49.87781944444445
3,15860.221,15860.221,9872.956999778748,49.04664444444444
4,20950.928,20950.928,14975.12199997902,48.95116111111112
5,22961.715,22961.715,17387.267999887466,45.60650277777778
6,26983.981,26983.981,20879.453999996185,50.02383611111111
7,30234.941,30234.941,19652.351999998093,82.34101944444444
8,23150.714,23150.714,17640.37900018692,45.07223611111111
9,26614.818,26614.818,15271.77899980545,88.6781027777778
10,8042.815,8042.815,1838.4270000457764,50.856011111111115
11,9387.356,9387.356,3988.8099999427795,44.14066111111111
12,14505.087,14505.087,9046.774000167847,44.63871944444445
13,16714.18,16714.18,10748.86699962616,48.86371944444444
14,19972.418,19972.418,14516.84900021553,44.615852777777775
15,26672.701,26672.701,15678.611999750137,85.77018611111112
16,19654.124,19654.124,14266.605000257492,44.048769444444446
17,17791.762,17791.762,12247.798000097275,45.35247777777778
18,7068.322,7068.322,1512.0700001716614,45.45487777777778
19,9149.192,9149.192,3661.3079998493195,44.88514444444444
20,13289.669,13289.669,6861.1829998493195,52.72349444444445
21,18955.59,18955.59,12899.200999736786,49.62268611111111
22,20643.314,20643.314,14951.943000078201,46.580869444444446
23,20429.744,20429.744,14634.254999876022,47.44851944444444
24,20500.537,20500.537,15184.773000001907,43.45081111111111
25,18978.35,18978.35,12996.634999990463,49.00040277777778
26,7130.644,7130.644,1683.029000043869,44.549569444444444
27,8703.495,8703.495,3142.430999994278,45.494977777777784
28,10664.83,10664.83,5164.474999904633,44.98906944444444
29,16301.475,16301.475,10337.183000087738,48.85521111111111
30,19849.068,19849.068,13958.973999738693,48.236894444444445
31,19919.599,19919.599,13968.180000066757,48.747936111111116
32,19734.78,19734.78,14353.072999954224,44.00033611111111
33,21279.596,21279.596,10503.111999988556,83.95681111111112
34,6999.688,6999.688,1675.555999994278,43.52054444444444
35,8737.462,8737.462,3509.513000011444,42.71901944444445
36,13808.935,13808.935,7699.338999986649,50.06607777777778
37,12046.261,12046.261,6512.4240000247955,45.26808611111111
38,19422.311,19422.311,13958.601999759674,44.683686111111115
39,19866.82,19866.82,13892.794999837875,48.93631944444445
40,19620.596,19620.596,13948.19400024414,46.42279444444444
41,17760.375,17760.375,11970.649999856949,47.40048611111112
42,7341.794,7341.794,1776.332999944687,45.531619444444445
43,9222.166,9222.166,3477.24799990654,47.027094444444444
44,28636.234,28636.234,17739.474999904633,84.95910277777779
45,14442.689,14442.689,8837.431999921799,45.86325277777778
46,17815.368,17815.368,12249.531999826431,45.53474444444445
47,21847.581,21847.581,15495.193000078201,52.08934444444445
48,21593.921,21593.921,16219.048000097275,43.94338611111111
49,19728.298,19728.298,14170.492000102997,45.46782777777778
50,7440.238,7440.238,1839.1579999923706,45.82844444444444
51,9552.203,9552.203,3596.6189999580383,48.78264444444444
52,14272.784,14272.784,8814.328999996185,44.63990277777778
53,16097.961,16097.961,10503.59700012207,45.77247777777778
54,18397.42,18397.42,12614.726000070572,47.34189444444444
55,20132.676,20132.676,14406.224999666214,46.87320277777778
56,19651.039,19651.039,13850.507999897003,47.49053611111111
57,17606.978,17606.978,12584.159000396729,41.00960277777778
58,7173.749,7173.749,1576.3020000457764,45.79816944444445
59,9418.079,9418.079,3442.042000055313,48.953086111111105
60,14634.155,14634.155,9205.71700000763,44.38976111111111
61,16236.11,16236.11,11030.5,42.53286111111111
62,20062.118,20062.118,14207.349999904633,47.942511111111116
63,20044.961,20044.961,14456.74900007248,45.72121111111112
64,20141.253,20141.253,13877.514999866486,51.35059444444444
65,18315.969,18315.969,12579.25,46.95876944444444
66,6846.919,6846.919,1641.167000055313,42.53404444444445
67,8604.294,8604.294,2914.8619997501373,46.56471111111111
68,10191.236,10191.236,4728.6900000572205,44.673994444444446
69,15487.687,15487.687,10162.313999891281,43.53088611111111
70,17521.184,17521.184,11728.319000005722,47.426652777777775
71,19159.473,19159.473,13265.421000242233,48.26987777777778
72,19662.953,19662.953,13733.361999988556,48.56603611111111
73,17629.565,17629.565,11964.611000061035,46.36072777777778
74,7315.71,7315.71,1771.2880001068115,45.356294444444444
75,9414.507,9414.507,3415.2129998207092,49.14689444444444
76,14641.979,14641.979,8970.25600028038,46.41713611111111
77,16752.377,16752.377,11237.907999753952,45.10668611111111
78,25735.305,25735.305,14178.237999916077,90.46166944444444
79,29246.118,29246.118,18261.932000398636,85.68766111111111
80,22103.383,22103.383,16488.773000001907,45.94119444444445
81,23680.807,23680.807,12750.770999908447,85.23641111111112
82,7210.316,7210.316,1637.5099999904633,45.59282777777778
83,8804.215,8804.215,3399.1059999465942,44.195352777777785
84,23341.144,23341.144,12318.870000123978,86.0050611111111
85,16211.826,16211.826,10397.480000019073,47.60566111111111
86,21481.209,21481.209,15604.46299982071,48.125661111111114
87,21469.369,21469.369,15753.956000089645,46.781219444444446
88,21557.01,21557.01,15553.922999858856,49.17850277777778
89,22946.895,22946.895,12455.154000043869,81.58395277777778
90,8274.235,8274.235,2017.0750000476837,51.295777777777786
91,10459.988,10459.988,4209.6859998703,51.23862777777778
92,16416.073,16416.073,10515.749999761581,48.32213611111111
93,18630.867,18630.867,12567.690000295639,49.67925277777778
94,21691.04,21691.04,15888.078999996185,47.510786111111116
95,23433.484,23433.484,17419.93699979782,49.26566944444445
96,25373.959,25373.959,14688.023000001907,83.20224444444446
97,18296.169,18296.169,12560.615999937057,46.94905277777778
98,7540.207,7540.207,1764.6510000228882,47.28241111111112
99,9925.732,9925.732,3829.8129999637604,49.95210277777778
100,15558.307,15558.307,9775.305000066757,47.344461111111116
101,28661.787,28661.787,17108.68899989128,90.42859444444444
102,21676.502,21676.502,15606.575000047684,49.735502777777775
103,23031.636,23031.636,17259.271999835968,47.255811111111115
104,23160.502,23160.502,17455.361000061035,46.695619444444446
105,21135.89,21135.89,15820.007000207901,43.45180277777778
106,7533.051,7533.051,1885.526999950409,46.21547777777778
107,18706.904,18706.904,7386.593000173569,88.48870277777779
108,29321.292,29321.292,18657.97399997711,83.01376111111111
109,31228.4,31228.4,19542.46899986267,91.53553611111113
110,24099.9,24099.9,18587.483000040054,45.08958611111111
111,25562.155,25562.155,19934.680000066757,46.04840277777778
112,25899.342,25899.342,19992.584000349045,48.37576111111112
113,24253.428,24253.428,18228.733999967575,49.35856111111111
114,18055.329,18055.329,7256.4509999752045,84.14342777777777
115,7209.224,7209.224,1846.454999923706,43.84251944444445
116,24867.556,24867.556,13935.22000002861,85.25557777777779
117,17982.738,17982.738,12263.164999961853,46.81588611111111
118,23443.241,23443.241,17656.97300004959,47.371677777777776
119,23657.812,23657.812,17645.459000110626,49.25571944444444
120,23668.516,23668.516,18037.099999666214,46.081244444444444
121,22071.67,22071.67,16008.593000173569,49.678419444444444
122,7666.46,7666.46,1800.5599999427795,48.03527777777778
123,20597.731,20597.731,9090.633000135422,90.0452611111111
124,14952.449,14952.449,9507.151000022888,44.530261111111116
125,16766.698,16766.698,10971.578999996185,47.44543611111112
126,31239.13,31239.13,20500.115000009537,83.64456944444444
127,24385.792,24385.792,18419.72399997711,48.87001111111111
128,22456.943,22456.943,16631.258999824524,47.70014444444445
129,22505.499,22505.499,16609.182000160217,48.28875277777777
130,7012.796,7012.796,1515.4010000228882,44.96440277777778
131,8968.535,8968.535,3604.6440000534058,43.851869444444446
132,11080.041,11080.041,5143.976999998093,48.61997777777778
133,18423.494,18423.494,12450.894999980927,48.92443611111111
134,20181.788,20181.788,14007.68099975586,50.60366944444444
135,19986.286,19986.286,14413.032999753952,45.596552777777774
136,19738.412,19738.412,14280.222000360489,44.63769444444445
137,17946.595,17946.595,12640.49900007248,43.370244444444445
138,7333.881,7333.881,1556.305999994278,47.299236111111114
139,18070.733,18070.733,7530.306999921799,81.9896611111111
140,28761.157,28761.157,17690.86899995804,86.40517777777778
141,16375.532,16375.532,10401.665999889374,48.93499444444445
142,33049.332,33049.332,21410.890000104904,91.13979444444445
143,21647.26,21647.26,16145.345000267029,45.002069444444444
144,23858.401,23858.401,17671.506999969482,50.71022777777778
145,24308.915,24308.915,18554.40600013733,47.10701944444445
146,18117.988,18117.988,6699.783999919891,89.30447777777778
147,9374.006,9374.006,3897.9320001602173,44.78672777777778
148,26005.886,26005.886,15592.348000049591,80.93226111111112
149,19124.265,19124.265,13711.366999864578,44.26026111111111
150,22220.203,22220.203,17021.168999671936,42.47806111111111
151,21945.762,21945.762,16671.858000278473,43.101977777777776
152,21592.033,21592.033,16247.59400010109,43.689769444444444
153,20020.354,20020.354,14303.091000080109,46.79663611111111
154,8341.678,8341.678,1890.2979998588562,52.914277777777784
155,21051.526,21051.526,9675.725000143051,88.95111944444444
156,15450.992,15450.992,9628.142000198364,47.67652777777778
157,16973.457,16973.457,11427.949999809265,45.36533611111111
158,31454.018,31454.018,20683.356000185013,83.90829444444444
159,24123.42,24123.42,18647.049999952316,44.78919444444445
160,22312.497,22312.497,16317.37700009346,49.112111111111105
161,22294.147,22294.147,16902.689999818802,44.08158611111111
162,7294.997,7294.997,1976.069000005722,43.47717777777778
163,9041.157,9041.157,3219.7139999866486,47.66480277777778
164,24552.809,24552.809,13474.117000102997,86.47521111111112
165,15173.209,15173.209,9758.415999889374,44.27605277777778
166,13646.17,13646.17,8089.15700006485,45.46121944444444
167,28027.052,28027.052,16934.10400032997,86.59401111111112
168,21306.783,21306.783,15318.972999811172,49.05119444444444
169,19225.042,19225.042,14134.617000102997,41.57298611111111
170,7500.195,7500.195,2006.0869998931885,44.93701111111111
171,9138.748,9138.748,3277.861000061035,47.99350277777778
172,29492.631,29492.631,18428.270000219345,86.3557861111111
173,14372.624,14372.624,8158.0490000247955,50.94090277777778
174,18494.381,18494.381,13014.437999725342,44.81896944444445
175,27496.157,27496.157,16486.272000074387,85.90181944444444
176,22364.568,22364.568,16429.34100008011,48.61300277777778
177,22264.859,22264.859,16523.986000061035,46.993386111111114
178,8394.523,8394.523,2009.5260000228882,52.361086111111106
179,21370.474,21370.474,9641.670000076294,91.89281111111111
180,15831.974,15831.974,10198.84400010109,46.095527777777775
181,17902.179,17902.179,11642.950999736786,51.313011111111116
182,23211.752,23211.752,17849.61899995804,43.83721944444444
183,28223.67,28223.67,17211.27599978447,85.92272777777778
184,28402.266,28402.266,17386.427000284195,85.95143611111111
185,19371.935,19371.935,13831.194000005722,45.32561944444444
186,5259.794,5259.794,0.0,42.98439444444445
187,9487.284,9487.284,3555.9110000133514,48.58088611111111
188,28504.542,28504.542,17293.31500005722,87.57966944444443
189,14667.129,14667.129,8962.828999996185,46.688611111111115
190,17516.167,17516.167,12341.083999872208,42.27846944444445
191,21620.677,21620.677,15977.133999824524,46.18230277777778
192,21140.522,21140.522,15850.365000247955,43.23741944444444
193,19212.897,19212.897,13580.476999998093,46.08961111111111
194,18786.978,18786.978,7545.137000083923,87.83478611111111
195,9547.687,9547.687,3662.388000011444,48.196936111111114
196,15205.582,15205.582,9709.691999912262,44.95186111111111
197,21337.479,21337.479,15305.228999853134,49.42152777777778
198,23253.901,23253.901,17428.25200009346,47.69985277777778
199,25571.043,25571.043,19744.763000011444,47.70511111111111
200,27503.306,27503.306,15684.641000032425,92.64165277777778
201,19924.754,19924.754,13912.322000026703,49.256377777777786
202,7907.536,7907.536,1646.2699999809265,51.32999444444445
203,21015.835,21015.835,10080.309000015259,85.28216111111112
204,15607.283,15607.283,9269.641000270844,51.966461111111116
205,17702.691,17702.691,11790.458999633789,48.42137777777778
206,23259.762,23259.762,17564.754999876022,46.61116944444444
207,30872.923,30872.923,19207.84800028801,91.36173611111111
208,23660.594,23660.594,17561.1960003376,49.98109444444444
209,21635.93,21635.93,16334.15299987793,43.33425277777778
210,5402.509,5402.509,0.0,44.17368611111111
211,13249.839,13249.839,7330.335000038147,48.481977777777786
212,11307.971,11307.971,5407.641999959946,48.322186111111115
213,18100.177,18100.177,12202.065999984741,48.30370277777778
214,19801.823,19801.823,14167.238999843597,46.107644444444446
215,19753.78,19753.78,14678.120000123978,41.44994444444445
216,19850.184,19850.184,14077.796000003815,47.256011111111114
217,18068.445,18068.445,12268.085000038147,47.489111111111114
218,7874.41,7874.41,1787.8870000839233,49.87380277777778
219,9784.586,9784.586,4060.526000022888,46.85327777777778
220,16007.249,16007.249,9678.34200000763,51.89366944444444
221,18341.138,18341.138,12257.634999752045,49.84863611111112
222,21774.68,21774.68,15851.081000089645,48.516102777777775
223,21505.129,21505.129,15878.083000183105,46.04482777777778
224,21296.444,21296.444,15679.467000246048,45.96091944444444
225,19693.461,19693.461,14055.614999771118,46.13482777777779
226,7090.801,7090.801,1732.0789999961853,43.808794444444445
227,20359.466,20359.466,9233.515000104904,86.86903611111111
228,10891.792,10891.792,5308.8170001506805,45.677569444444444
229,16939.434,16939.434,10723.927000045776,50.94866944444445
230,23437.918,23437.918,17999.180000066757,44.47559444444444
231,29206.861,29206.861,17747.52699995041,89.64722777777777
232,19714.874,19714.874,14296.463999986649,44.30619444444444
233,24089.304,24089.304,12764.637000083923,88.52500277777779
234,15030.931,15030.931,4147.91100025177,84.8446111111111
235,9389.459,9389.459,3413.5609998703003,48.95192777777777
236,19068.488,19068.488,12970.902000188828,49.96599444444445
237,20559.4,20559.4,15360.190999746323,42.47951944444445
238,22069.008,22069.008,16018.477999925613,49.573861111111114
239,22191.349,22191.349,16947.9390001297,42.847861111111115
240,21849.854,21849.854,16137.815999746323,46.75309444444445
241,20233.738,20233.738,14549.089000225067,46.52485277777778
242,7517.29,7517.29,1572.8830001354218,48.689502777777776
243,9491.607,9491.607,3690.375999689102,47.49636944444444
244,13799.606,13799.606,8643.541000366211,42.11998611111111
245,15132.431,15132.431,10179.66000008583,40.425869444444444
246,15067.019,15067.019,9716.888000011444,43.73720277777778
247,26448.398,26448.398,15361.18499994278,86.54621944444446
248,19019.578,19019.578,13289.320999860764,46.904919444444445
249,17426.727,17426.727,11265.404000043869,50.49713611111111
250,18869.058,18869.058,7171.846999883652,91.62953611111111
251,9536.002,9536.002,4193.257000207901,43.67565277777778
252,15199.603,15199.603,9253.984999895096,48.69959444444444
253,32848.708,32848.708,22166.110999822617,83.17441944444444
254,20774.748,20774.748,15231.184000015259,45.34914444444445
255,30979.117,30979.117,19905.97099995613,86.42899444444444
256,23690.317,23690.317,18088.185000181198,45.83721111111112
257,22180.957,22180.957,16453.852999925613,46.87864444444445
258,5333.731,5333.731,0.0,43.60053611111111
259,21973.712,21973.712,11093.630000114441,84.82012777777778
260,9163.901,9163.901,3690.091999769211,44.767852777777776
261,20548.188,20548.188,14778.334000110626,47.23489444444445
262,31281.703,31281.703,19994.605000019073,88.21192777777777
263,22034.3,22034.3,16462.84299969673,45.581586111111115
264,22240.78,22240.78,15997.448000192642,51.18054444444445
265,22382.144,22382.144,16624.362999916077,47.13428611111111
266,7601.338,7601.338,1774.0350000858307,47.713636111111114
267,9718.501,9718.501,3786.7389998435974,48.58412777777778
268,16277.222,16277.222,10052.679000139236,51.02396944444445
269,18126.569,18126.569,11858.426999807358,51.38729444444445
270,21700.912,21700.912,16042.041000127792,46.31003611111111
271,23310.855,23310.855,17594.760999917984,46.78689444444444
272,21477.743,21477.743,15879.158999919891,45.80764444444444
273,19678.822,19678.822,13890.299000024796,47.39046944444445
274,7276.303,7276.303,1554.2530000209808,46.83652777777778
275,8684.893,8684.893,3578.6289999485016,41.70497777777778
276,10401.631,10401.631,4650.922999858856,47.07534444444444
277,15824.12,15824.12,10437.046999931335,44.045052777777784
278,18002.593,18002.593,11908.24900007248,49.93897777777778
279,25156.96,25156.96,13866.896000146866,88.23664444444445
280,19946.915,19946.915,14544.077999591827,44.17641944444445
281,19904.327,19904.327,13818.340000152588,49.86933611111111
282,5656.106,5656.106,0.0,46.286994444444446
283,12574.89,12574.89,7124.143999814987,44.57566111111111
284,10627.157,10627.157,5302.201000213623,43.527411111111114
285,17629.101,17629.101,11766.729000091553,48.005877777777776
286,17534.43,17534.43,11775.008000135422,47.14796111111111
287,19450.613,19450.613,14372.180999994278,41.47304444444445
288,18932.896,18932.896,13241.767999887466,46.57884444444444
289,17401.669,17401.669,11488.161999940872,48.43200277777778
290,7677.057,7677.057,2034.319000005722,46.17559444444444
291,9885.279,9885.279,3751.6169998645782,50.266627777777785
292,15496.017,15496.017,9500.661999940872,49.114069444444446
293,28405.985,28405.985,17321.827000141144,86.52076111111111
294,20975.603,20975.603,14710.034999847412,51.36584444444445
295,23100.516,23100.516,17346.769999742508,47.10066111111111
296,23434.484,23434.484,17501.680999994278,48.59280277777778
297,21685.827,21685.827,15873.030000209808,47.592752777777775
298,7326.112,7326.112,2076.191999912262,42.90211111111111
299,9501.876,9501.876,3426.5060000419617,49.78086111111111
300,15536.49,15536.49,9222.401999950409,51.770177777777775
301,17198.645,17198.645,11304.630000114441,48.26956944444445
302,28416.933,28416.933,16825.683000087738,90.74652777777779
303,20895.814,20895.814,15194.74399971962,46.66169444444445
304,26986.254,26986.254,16152.172000169754,84.43679444444446
305,21409.22,21409.22,15147.760999917984,51.331602777777775
306,7675.016,7675.016,1932.6269998550415,47.00601944444445
307,9550.322,9550.322,3804.1660001277924,47.03741111111111
308,15250.714,15250.714,8991.223000049591,51.31520277777777
309,17049.238,17049.238,11814.422000169754,42.776244444444444
310,20822.929,20822.929,14392.221999883652,52.74200277777778
311,20695.434,20695.434,15384.97300028801,43.406619444444445
312,20439.582,20439.582,14722.353999614716,46.79634444444444
313,18698.378,18698.378,13106.24799990654,45.75386111111111
314,7213.672,7213.672,1839.6059999465942,43.93666111111111
315,8768.01,8768.01,3042.090000152588,46.86877777777779
316,10432.143,10432.143,5194.546999931335,42.79941111111111
317,15503.053,15503.053,9824.499999761581,46.47405277777777
318,17997.034,17997.034,12240.006999969482,47.12800277777778
319,19905.165,19905.165,13729.267000198364,50.61859444444444
320,20105.301,20105.301,14251.707999706268,47.932719444444444
321,21902.675,21902.675,10586.565999984741,88.45368611111111
322,19082.972,19082.972,7741.863999843597,88.66201111111111
323,9826.275,9826.275,4241.730999946594,45.690644444444445
324,15832.796,15832.796,9609.72600030899,51.011694444444444
325,21196.105,21196.105,15083.507999897003,50.09108611111112
326,22480.825,22480.825,16576.08599972725,48.35893611111111
327,29543.798,29543.798,19165.902000188828,80.63524444444445
328,20575.528,20575.528,15071.155000209808,45.02255277777778
329,24035.872,24035.872,13213.327000141144,84.34065277777778
330,7433.691,7433.691,1887.125,45.37416111111111
331,9018.297,9018.297,3256.1310000419617,47.17082777777778
332,13076.672,13076.672,7267.048999786377,47.56630277777778
333,29668.798,29668.798,19048.12600016594,82.65837777777779
334,18250.599,18250.599,12754.115000009537,44.956811111111115
335,19371.317,19371.317,13746.384999752045,46.02721111111111
336,20589.931,20589.931,15067.826999902725,45.17031111111111
337,18907.228,18907.228,13447.547000169754,44.65011944444444
338,7209.434,7209.434,1522.2109999656677,46.546302777777775
339,17638.163,17638.163,7054.157000303268,82.35282777777778
340,25634.926,25634.926,14660.746000051498,85.60427777777778
341,14472.248,14472.248,8716.112999916077,47.12056944444444
342,23765.47,23765.47,17793.926000118256,48.915644444444446
343,25589.735,25589.735,20100.56299972534,44.895877777777784
344,23889.243,23889.243,17907.40299987793,49.001444444444445
345,21819.459,21819.459,16209.100000143051,45.905769444444445
346,17307.181,17307.181,6292.759000301361,85.93962777777777
347,24959.181,24959.181,13445.28099989891,90.10194444444444
348,13849.438,13849.438,7778.8079998493195,49.74136111111111
349,23495.507,23495.507,17526.253999710083,48.89655277777778
350,27382.437,27382.437,21568.179000139236,47.604927777777775
351,27320.699,27320.699,21185.424999952316,50.28006111111111
352,25274.621,25274.621,19610.984999895096,46.34974444444445
353,23631.337,23631.337,17946.37300014496,46.527477777777776
354,8113.081,8113.081,1758.4260001182556,52.10823611111111
355,10167.896,10167.896,4151.65499997139,49.28811944444445
356,15521.085,15521.085,9761.08999991417,47.15273611111111
357,17744.175,17744.175,11863.59500002861,48.15761111111111
358,21073.72,21073.72,15351.386999845505,46.83888611111111
359,20813.066,20813.066,15601.980999946594,42.57848611111111
360,20997.029,20997.029,15070.598000049591,48.53970277777778
361,22920.708,22920.708,11499.485000133514,89.32963611111111
362,7191.166,7191.166,1745.0750000476837,44.53686944444444
363,8882.212,8882.212,3418.343999862671,44.68501111111111
364,23491.541,23491.541,12536.148999929428,85.44771111111112
365,16471.704,16471.704,10735.793999671936,46.95202777777778
366,28416.994,28416.994,17201.552000284195,87.61479444444446
367,21335.96,21335.96,15428.762000083923,48.37942777777778
368,23136.389,23136.389,17565.20999979973,45.57926944444445
369,21183.328,21183.328,15760.079999923706,44.34651111111111
370,18263.297,18263.297,7310.798000097275,85.42360277777777
371,9617.979,9617.979,3713.789999961853,48.35435277777778
372,14360.272,14360.272,8970.43700003624,44.06806944444445
373,19918.735,19918.735,14288.41200017929,46.072136111111114
374,21529.735,21529.735,15757.985999822617,47.25068611111111
375,21836.455,21836.455,16292.9969997406,45.348261111111114
376,25466.373,25466.373,14321.203999757767,87.02918611111113
377,20356.616,20356.616,14592.465000152588,47.18736944444444
378,5402.267,5402.267,0.0,44.17166944444445
379,12864.201,12864.201,7056.858000040054,47.54730277777777
380,10993.756,10993.756,5389.632999897003,45.85380277777778
381,18448.254,18448.254,12578.799999952316,48.06489444444445
382,19808.638,19808.638,14029.417000055313,47.31295277777778
383,20027.576,20027.576,14216.294999837875,47.58011944444445
384,19900.541,19900.541,14152.106000185013,47.05640277777778
385,17865.493,17865.493,12687.12399983406,42.30585277777777
386,18683.695,18683.695,7261.5090000629425,89.33766111111112
387,9437.902,9437.902,4092.132999897003,43.700852777777776
388,15531.21,15531.21,9253.34299993515,51.468336111111114
389,33090.691,33090.691,22469.743000030518,82.66067777777778
390,22385.098,22385.098,16177.30999994278,50.88434444444444
391,24013.467,24013.467,18225.55999994278,47.385336111111116
392,23892.096,23892.096,18734.962000131607,42.12889444444444
393,22025.584,22025.584,16584.59899997711,44.49431944444444
394,7346.518,7346.518,1815.0040001869202,45.24872777777778
395,9541.493,9541.493,3655.885999917984,48.19950277777778
396,14254.175,14254.175,8277.143999814987,48.96136944444444
397,16355.122,16355.122,11037.416999816895,43.46698611111111
398,16653.229,16653.229,11023.489000082016,46.067277777777775
399,21734.784,21734.784,15799.476000070572,48.61367777777778
400,19722.979,19722.979,14134.709999799728,45.72168611111111
401,17624.287,17624.287,12530.174000263214,41.603719444444444
402,7404.401,7404.401,1658.0339999198914,47.03916944444444
403,9082.306,9082.306,3664.4260001182556,44.30177777777778
